cols,hsnsac
Live Animals; Animal Products,01
"LIVE HORSES, ASSES, MULES AND HINNIES - Horses:",0101
"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMALS HORSES",01011010
"LIVE HORSES, ASSES, MULESANDHINNIES PURE-BRED BREEDING ANIMALS ASSES",01011020
"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMAL S OTHER",01011090
Horses,010121
Pure-bred bredding animals,01012100
other,010129
Horses for polo,01012910
other,01012990
Asses,010130
Pure-bred breeding animals,01013010
livestock,01013020
other,01013090
Other,010190
"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - HORSES FOR POLO",01019010
"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - ASSES, MULES AND HINNIES AS LIVE STOCK",01019020
Mules and hinnies as livestock,01019030
"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - OTHER",01019090
LIVE BOVINE ANIMALS - Cattle:,0102
LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS : ADULT,01021010
"LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS COWS, ADULT",01021020
"LIVE BOVINE ANIMALS- BULLS - PURE-BRED BREEDING ANIMALS BUFFALOES, ADULT AND CALVES",01021030
LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS OTHER,01021090
Pure-bred breeding animals,010221
Bulls,01022110
Cows,01022120
Other,010229
Bulls,01022910
Other including calves,01022990
Pure-bred breeding animals,01023100
Others,01023900
Other,010290
LIVE BOVINE ANIMALS - OTHER - BULLS - ADULT,01029010
"LIVE BOVINE ANIMALS - OTHER - BUFFALOES, ADULT AND CALVES",01029020
LIVE BOVINE ANIMALS - OTHER - OTHER,01029090
LIVE SWINE,0103
LIVE SWINE PURE-BRED BREEDING ANIMALS,01031000
LIVE SWINE - OTHER - WEIGHING LESS THAN 50 KG.,01039100
LIVE SWINE- OTHER  WEIGHING 50KG. OR MORE,01039200
LIVE SHEEP AND GOATS,0104
Sheep,010410
LIVE SHEEP AND GOATS - SHEEP : SHEEP INCLUDING LAMB FOR BREEDING PURPOSE,01041010
LIVE SHEEP A ND GOATS SHEEP OTHER,01041090
LIVE SHEEP AND GOATS GOATS,01042000
"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS - Weighing not more than 185 g:",0105
"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : FOWLSOFTHESPECIESGALLUSDOMESTICUS",01051100
"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : TURKEYS",01051200
Ducks,01051300
Geese,01051400
Guinea fowls,01051500
